,job_title,job_link,company_name,salary,job_location,job_requirements,job_classifiation,short_description,salary_ind
824,Business Analyst,/job/55058345?type=standout#searchRequestToken=918dc9e2-9ae6-49a3-962e-f99184c474cf,Woolworths NZ Ltd,,Auckland,"['Join us as we embark of significant growth in our digital space', 'Exposure to Aotearoas largest eCommerce retailer', 'Competitive salary + wide range of benefits']",Information & Communication Technology,Countdown is looking for a Business Analyst to join our team of cross-functional experts who build and extend our digital and data capabilities,60000-80000
825,Application Support Analyst,/job/55265632?type=standout#searchRequestToken=918dc9e2-9ae6-49a3-962e-f99184c474cf,healthAlliance,,Auckland,"['Small but high performing team', 'Manage incidents, requests, problems, changes and release of applications', 'Knowledge of SQL and Oracle databases, including medium complexity SQL']",Information & Communication Technology,"We have multiple opportunities available due to team growth, providing application support for the users of clinical and business systems",60000-80000
826,Finance Banking Analyst,/job/55142483?type=standout#searchRequestToken=918dc9e2-9ae6-49a3-962e-f99184c474cf,Fonterra Co-operative Group Ltd,,Waikato,"['Versatile, varied role, that directly impacts the business', 'Opportunity to add value to our internal stakeholders', 'Career development & flexible working options']",Banking & Financial Services,"Variety and versatility!  Be the subject matter expert across banking solutions, FX hedging / settlement & cashflow forecasting processes",60000-80000
827,Data Engineer,/job/54988206?type=standout#searchRequestToken=918dc9e2-9ae6-49a3-962e-f99184c474cf,Finite920,$90k - $140k p.a. (negotiable),Wellington,"['Growing consultancy based in Wellington CBD', 'Great culture and opportunities for development', 'Competitive salary, medical insurance, and career progression']",Information & Communication Technology,Work for a growing consultancy on providing high quality data and software solutions to clients.,60000-80000
829,Commercial Improvement Analyst,/job/55078238?type=standout#searchRequestToken=918dc9e2-9ae6-49a3-962e-f99184c474cf,DOWNER NZ,,Northland,,Consulting & Strategy,"Roles like this don’t come often, so if you’re someone who enjoys the construction industry and the rewards of over-coming challenges, then we want to",60000-80000
831,Commercial Manager / Business Analyst,/job/55029100?type=standard#searchRequestToken=918dc9e2-9ae6-49a3-962e-f99184c474cf,ReachMedia,,Auckland,,Information & Communication Technology,"Develop & deliver performance metrics to enable key business decision making with support in pricing, contracting, forecasting and P&L reporting.",60000-80000
832,Analyst or Senior Analyst - 13 months Fixed Term,/job/55203429?type=standout#searchRequestToken=918dc9e2-9ae6-49a3-962e-f99184c474cf,TSB,,Taranaki,"[""We're looking for a talented person with a strong eye for detail"", 'Bring your experience and positive mindset to our dynamic team', 'Join our successful organisation and leave your mark at this exciting time']",Banking & Financial Services,New Plymouth Location is preferred but open to Waikato region,60000-80000
833,"Data Warehouse Developer (Full time) Health Intelligence & Informatics,CM Health",/job/55009721?type=standard#searchRequestToken=918dc9e2-9ae6-49a3-962e-f99184c474cf,Counties Manukau District Health Board,,Auckland,,Information & Communication Technology,Counties Manukau Health,60000-80000
838,CRM Reporting Analyst ANZ,/job/55011219?type=standout#searchRequestToken=0f745778-3cfa-4704-a844-d7e354345921,BP,,Auckland,"['An opportunity to grow with a team focused on continuous improvement', 'Discount on fuel']",Marketing & Communications,We're looking for new talent to join our team! If you have experience in Adobe and CRM apply today!,60000-80000
839,Business Analyst - Billing,/job/55096998?type=standout#searchRequestToken=0f745778-3cfa-4704-a844-d7e354345921,Aderant,Competitive salary + Benefits,Auckland,"['Remote & flexible working options are available', 'Determine the best design for all clients’ requirements', 'Bring your experience to a team keen on streamlining the Billing process']",Information & Communication Technology,Do you believe in helping clients to achieve greater efficiency? Help us take our Billing product to the next level.,60000-80000
840,Sustainability Advisor,/job/55272234?type=standout#searchRequestToken=0f745778-3cfa-4704-a844-d7e354345921,NZX Talent,,Wellington,"['New role! Support our journey to carbon zero', 'Establish reporting and data frameworks', 'Champion sustainability initiatives within NZX']",Banking & Financial Services,This newly created role is a terrific opportunity for a proactive Sustainability Advisor to shape and drive our sustainability journey.,60000-80000
842,Application Support Analyst,/job/55219152?type=standout#searchRequestToken=0f745778-3cfa-4704-a844-d7e354345921,Cigna NZ,,Wellington,"['Grow and develop in a multi-national Fortune 500 company', 'Challenging and diverse opportunity in a fast paced busineess', 'Supportive, inclusive and friendly environment']",Information & Communication Technology,"We're looking for an Application Support Analyst to join our IT Team. This is a permanent, full time role based in either Wellington or Auckland",60000-80000
843,Process Improvement Analyst,/job/55285832?type=standout#searchRequestToken=0f745778-3cfa-4704-a844-d7e354345921,Ministry of Social Development,,Wellington,"['Do you want to work in an environment that is fun full of variety and challenge?', 'Process Improvement Analyst', 'Fixed Term role, National Office, Wellington']",Government & Defence,"Opportunity for a solutions-focused, problem solver, who would like to work in a busy, dynamic environment.",60000-80000
844,BOARDPRO - Product Ops Specialist/Analyst,/job/55088156?type=standout#searchRequestToken=0f745778-3cfa-4704-a844-d7e354345921,AssessAdvantage,,Auckland,"['Rare opportunity to join a high growth business', 'Flexible working hours and location', 'Product role that holds the team together with lots of impact']",Information & Communication Technology,Become an early employee of an exciting start-up that is leading the board governance software market & is targeting huge growth globally.,60000-80000
845,Business Analyst,/job/55087363?type=standout#searchRequestToken=0f745778-3cfa-4704-a844-d7e354345921,CallCentre People,,Auckland,,Information & Communication Technology,"We are on the hunt for x2 incredible Business Analysts to fill the following roles:

1 x Intermediate Business Analyst 
1 x Senior Business Analyst",60000-80000
847,Pricing Analyst,/job/55012377?type=standard#searchRequestToken=0f745778-3cfa-4704-a844-d7e354345921,UniMed,,Canterbury,,Insurance & Superannuation,Our focus on caring for our customers means that UniMed members can quickly get back on their feet with treatment at facilities of their choice.,60000-80000
848,GIS Analyst - Wellington,/job/55096539?type=standout#searchRequestToken=0f745778-3cfa-4704-a844-d7e354345921,Stantec New Zealand,,Wellington,"['Assist with a variety of projects', 'Rewarding career, competitive market salary and excellent benefits', 'Fantastic office location and team culture']",Information & Communication Technology,An opportunity to join a dynamic global top 10 consulting firm offering a variety of exciting projects and exceptional rewards and benefits.,60000-80000
849,Qualification System Product Analyst,/job/55177533?type=standout#searchRequestToken=0f745778-3cfa-4704-a844-d7e354345921,ATCL Search,,Auckland,"['Do you have experience in developing qualifications?', 'Work remotely or in our Auckland or Wellington office', 'Thrive being innovative, challenging the status quo and working at pace?']",Education & Training,Use your experience in qualification design and development,60000-80000
850,Business Analyst,/job/54967720?type=standout#searchRequestToken=0f745778-3cfa-4704-a844-d7e354345921,GoSee,,Auckland,"['NZ travel business with global backing', 'Agile, fun, flexible working environment', 'Great culture and opportunities']",Information & Communication Technology,We have a new opportunity for a Business Analyst to join our team to focus on  GoSee’s Insurance offering.,60000-80000
851,Senior Agile Business Analyst,/job/55323390?type=standout#searchRequestToken=0f745778-3cfa-4704-a844-d7e354345921,PwC NZ,,Auckland,"['Put your skills to the test, partnering with some of NZ’s largest organisations', 'Join a highly skilled team, working in a culture that is driven to succeed', 'Reimagine the possible with a range of innovative and meaningful projects']",Information & Communication Technology,"This role will help support PwC through its transformation agenda, taking an iterative and agile approach to delivering change.",60000-80000
856,Business Analyst,/job/55051429?type=standout#searchRequestToken=0f745778-3cfa-4704-a844-d7e354345921,Datacom,,Wellington,"[""Grow your career with one of NZ's top IT companies"", 'Plenty of learning and mentoring opportunities', 'Flexible working agreements + Benefits + Great Career Development']",Information & Communication Technology,"Our purpose  Here at Datacom we connect people and technology in order to solve challenges, create opportunities and discover new possibilities",60000-80000
857,Qualification System Product Analyst,/job/55177713?type=standout#searchRequestToken=0f745778-3cfa-4704-a844-d7e354345921,ATCL Search,,Wellington,"['Do you have experience in developing qualifications?', 'Work remotely or in our Auckland or Wellington office', 'Thrive being innovative, challenging the status quo and working at pace?']",Education & Training,Use your experience in qualification design and development,60000-80000
859,Nature Manager,/job/54956598?type=promoted#searchRequestToken=04a76e1b-1501-4f09-9975-fd6dfc5e80cf,Danone CBS Talent NZ,"Salary, Annual Bonus, 4% KiwiSaver & more!",Otago,"['Do you have an innate drive for Environmental Sustainability?', 'Looking to step-up into a strategic role with huge scope/accountability?', 'We offer flexible working options, health & wellbeing benefits & more!']",Engineering,Join Danone in this strategic position with vast accountability and scope to deliver strong and sustainable impact on the Nature roadmap.,60000-80000
860,Senior Business Analyst,/job/55323208?type=standard#searchRequestToken=04a76e1b-1501-4f09-9975-fd6dfc5e80cf,Robert Half Finance & Accounting,$90k - $110k p.a.,Auckland,,Accounting,"Business analyst with SAP experience needed for global company, Great opportunity to improve processes and grow within the business.",60000-80000
861,Demand & Supply Planner,/job/55298447?type=standout#searchRequestToken=04a76e1b-1501-4f09-9975-fd6dfc5e80cf,Lawson Williams Specialist Recruitment,,Auckland,"['Seeking a highly skilled planner with personality & flair', ""Provide data analysis and reporting critical to the company's success"", 'Complex role, diverse product range, broad customer base']","Manufacturing, Transport & Logistics","This offers a skilled demand and supply planner the opportunity to keep the business on its journey of better data quality, analysis and reporting.",60000-80000
863,Business Analyst,/job/55053839?type=standout#searchRequestToken=04a76e1b-1501-4f09-9975-fd6dfc5e80cf,Tourplan,,Canterbury,"['Use your extensive BA skills and experience on a global product', 'Join a global leader making a real difference for our customers', 'Excellent benefits including health insurance, free fruit, carparking etc']",Information & Communication Technology,Take a big career step with a software company working in the tourism sector. A great opportunity to become part of a team competing globally.,60000-80000
865,Business Analyst - Research & Development,/job/55079965?type=standout#searchRequestToken=04a76e1b-1501-4f09-9975-fd6dfc5e80cf,Gallagher,,Waikato,"['Competitive salary and bonus opportunities', 'Flexible working setup']",Information & Communication Technology,"Do you enjoy researching and analysing? 
Do you like process mapping?
Love working with stakeholders and bringing ideas together to fruition?",60000-80000
866,BI Consultant,/job/55015899?type=standout#searchRequestToken=04a76e1b-1501-4f09-9975-fd6dfc5e80cf,XO Recruitment,Depending on experience - Negotiable,Canterbury,"['Salary negotiable for the right applicant', 'People-centric culture', 'Small but mighty team of consultants']",Information & Communication Technology,Are you a BI guru looking for a change?,60000-80000
867,IT Business Analyst,/job/55051552?type=standout#searchRequestToken=04a76e1b-1501-4f09-9975-fd6dfc5e80cf,Millennium Corporation Limited,,Auckland,"['Newly Created Role', 'Wide variety of interesting and challenging work', 'Auckland CBD']",Information & Communication Technology,An excellent opportunity for a knowledgeable and enthusiastic Business Analyst to join our team,60000-80000
868,Manager/Team Leader,/job/55095143?type=standout#searchRequestToken=04a76e1b-1501-4f09-9975-fd6dfc5e80cf,THINK Hauora,,Manawatu,"['THINK Hauora is a key player in the primary health industry', 'We won’t be shy in saying, we are keen to attract top talent', '46 jobs for Leads right now. Forget the rest, we offer you possibilities!']",Information & Communication Technology,"We are open to a motivated Analyst ready to take the next step, or it may be you're a ‘mover and shaker’ strategically managing an analytics team...",60000-80000
870,Esri Technical Consultant,/job/55323339?type=standout#searchRequestToken=04a76e1b-1501-4f09-9975-fd6dfc5e80cf,Twoticks,"Yearly training allowance, partial remote work",Auckland,"['Work from home 2 days p/week!', 'Great Mt Wellington location', 'Fantastic team environment']",Information & Communication Technology,Our client has an excellent opportunity for an Esri Technical Consultant to join their team based in Auckland!,60000-80000
871,Financial Analyst,/job/55323521?type=standard#searchRequestToken=04a76e1b-1501-4f09-9975-fd6dfc5e80cf,Hudson - Accounting & Finance,$80k - $90k p.a.,Auckland,,Accounting,"Experienced Financial Analyst & Qualified CA required to join Commercial, Auckland CBD based organisation on a permanent basis.",60000-80000
872,Digital Analytics Specialist,/job/55013366?type=standout#searchRequestToken=04a76e1b-1501-4f09-9975-fd6dfc5e80cf,New Zealand Automobile Association Inc.,,Auckland,"['Newly created role', 'Great CBD location', 'Ongoing training and development']",Marketing & Communications,A new and exciting role for a data driven and detail orientated individual!,60000-80000
873,Business Analyst,/job/55087353?type=standout#searchRequestToken=04a76e1b-1501-4f09-9975-fd6dfc5e80cf,DuluxGroup,,Wellington,"['Join our talented finance team in this brand-new role!', 'Showcase your pricing and financial analysis skills', 'Step into a world of opportunities and grow your career']",Accounting,"To provide business analysis and financial reporting for Dulux NZ, and pricing matrix of products suite. To provide financial accounting and support t",60000-80000
874,Senior BI Developer,/job/54994474?type=standout#searchRequestToken=04a76e1b-1501-4f09-9975-fd6dfc5e80cf,Crew Consulting,,Auckland,"['Enjoy work/life balance that Christchurch has to offer', 'Positive and supportive company culture', 'Work with leading NZ organisations']",Information & Communication Technology,"Great opportunity for an experienced Senior BI Developer to join a Christchurch business, working with leading NZ organisations",60000-80000
875,Senior GIS Analyst,/job/55208549?type=standard#searchRequestToken=04a76e1b-1501-4f09-9975-fd6dfc5e80cf,Landpro Limited,,Otago,,Engineering,"Flexible location with a preference for Central Otago/Queenstown/Wanaka, in order to work with our team based in Cromwell.",60000-80000
877,Applications Analyst,/job/55046650?type=standout#searchRequestToken=04a76e1b-1501-4f09-9975-fd6dfc5e80cf,The Interiors Group,,Auckland,"['Permanent, full-time role - January start, location flexible', 'Monday to Friday 8.30am - 5.00pm (flexible)', 'Competitive base salary and laptop, phone provided']",Information & Communication Technology,We are looking for an experienced Applications Analyst to support the development and maintenance of our IT applications,60000-80000
879,Procurement Analyst,/job/55238326?type=standout#searchRequestToken=04a76e1b-1501-4f09-9975-fd6dfc5e80cf,WSP,,Wellington,"['Passionate team and excellent culture', 'Diverse multi-disciplinary environment', 'Excellent remuneration and benefits']","Manufacturing, Transport & Logistics",WSP is a collaborative team of global experts who aspire every day to shape a better tomorrow.,60000-80000
881,Analyst,/job/55192472?type=promoted#searchRequestToken=3b0287cc-49a7-42ad-bb6c-353e7a0b7722,Industrial and Commercial Bank of China (New Zealand) Ltd,,Auckland,,Banking & Financial Services,Analyst Corporate & Institutional Banking Department,60000-80000
884,Financial Systems Technical Lead 2DHB,/job/55307123?type=standout#searchRequestToken=3b0287cc-49a7-42ad-bb6c-353e7a0b7722,Capital and Coast District Health Board,,Wellington,"['Friendly and supportive team', 'Interesting and varied role']",Accounting,Financial Systems Technical Lead 2DHB,60000-80000
886,Business Analyst,/job/54964985?type=standout#searchRequestToken=3b0287cc-49a7-42ad-bb6c-353e7a0b7722,Xero,,Wellington,"['Work in a high performing & fast growing environment', 'Drive continuous improvements in team practices and customer experience', 'Permanent role based in our Wellington office']",Information & Communication Technology,Passionate about analysis and gathering data !!! Join our team to make a positive influence,60000-80000
887,Product Manager/Business Analyst,/job/55157611?type=standard#searchRequestToken=3b0287cc-49a7-42ad-bb6c-353e7a0b7722,Titanium Solutions Ltd,,Auckland,,Information & Communication Technology,"A great opportunity to make the most of your skills, supporting the healthcare industry in New Zealand and around the world",60000-80000
888,Senior Product Lead - Internet Banking,/job/55271133?type=standout#searchRequestToken=3b0287cc-49a7-42ad-bb6c-353e7a0b7722,Kiwibank,Competitive salary package + outstanding benefits!,Auckland,"['Kiwibank - 100% NZ owned', 'Banking benefits and flexible working', 'Join our growing Digital & Technology Team!']",Information & Communication Technology,Are you a BA looking to move into a Product focused role or a Product Owner looking for the next step in your career?,60000-80000
889,Global Procurement Financial Analyst - Auckland,/job/55132753?type=standout#searchRequestToken=3b0287cc-49a7-42ad-bb6c-353e7a0b7722,Fisher & Paykel Appliances,,Auckland,"['Work for an iconic kiwi brand!', 'Great Development Opportunities', 'Positive, passionate and high performing team environment']",Accounting,"Do you enjoy analysing data and creating dashboards/presentations to represent this data? If yes, click here to find out more.",60000-80000
891,Costing Analyst,/job/54935163?type=standout#searchRequestToken=3b0287cc-49a7-42ad-bb6c-353e7a0b7722,Pernod Ricard Winemakers,"Product Allowance, Income Protection",Auckland,"['Be Proud to belong, empowered to perform & Committed to care', 'Awarded “Employer of choice for Gender equality”', 'Modern Auckland office combined with WFH flexibility']",Banking & Financial Services,"Grow your Finance career in a fun, fast-paced industry | Support NZ Costing team with reporting & analysis | Convivial Culture",60000-80000
894,Senior Business Analyst,/job/55143030?type=standout#searchRequestToken=3b0287cc-49a7-42ad-bb6c-353e7a0b7722,DataTorque,,Wellington,"['Opportunity to make an impact around the world', 'Expend your BA / Consulting experience', 'Family friendly; Collaborative teams ; Great culture; Wellness Policy']",Information & Communication Technology,Would you like to make this world to be a much better place to live? Play an important role and help us do big things for our users.,60000-80000
896,Applications Analyst,/job/54945077?type=standout#searchRequestToken=3b0287cc-49a7-42ad-bb6c-353e7a0b7722,Synlait Milk Ltd,,Canterbury,"['Great career opportunity', 'Dunsandel or Christchurch locations', 'Excellent salary']",Information & Communication Technology,"You will be responsible for support, maintenance and enhancement of the suite of applications running within Synlait",60000-80000
897,Product Monitoring Analyst,/job/55175053?type=standout#searchRequestToken=3b0287cc-49a7-42ad-bb6c-353e7a0b7722,Presto Resourcing,,Wellington,"['Great Opportunity to work in Multinational Setup', 'Collaborative and Fun Environment', 'Excellent Renumeration']",Information & Communication Technology,Looking for a Support Analyst with expertise in .NET and SQL,60000-80000
899,Strategy and Architecture Analyst,/job/55075984?type=standout#searchRequestToken=3b0287cc-49a7-42ad-bb6c-353e7a0b7722,PwC NZ,,Wellington,"['Work alongside highly talented people, with diverse clients every day', 'Be yourself and empower others to make a difference', 'Work for our market-leading firm taking your career to the next level']",Consulting & Strategy,"You will help create strategies, architecture blueprints, roadmaps and investment models",60000-80000
900,Intermediate Business Analyst,/job/54996301?type=standout#searchRequestToken=3b0287cc-49a7-42ad-bb6c-353e7a0b7722,Absolute IT Limited,NZD70000 - NZD100000 per annum,Auckland,"['Flexible working arrangements', 'Salary up to $100,000 base per annum', 'Location – Rosedale- Auckland']",Information & Communication Technology,Looking for an Intermediate Business and Systems Analyst to join and add value to a well-respected organisation,60000-80000
904,Senior Product Lead - Internet Banking,/job/55271134?type=standout#searchRequestToken=3de0658a-fef3-4413-ba90-3daf65d252fc,Kiwibank,Competitive salary package + outstanding benefits!,Wellington,"['Kiwibank - 100% NZ owned', 'Banking benefits and flexible working', 'Join our growing Digital & Technology Team!']",Information & Communication Technology,Are you a BA looking to move into a Product focused role or a Product Owner looking for the next step in your career?,60000-80000
905,Workforce Analyst (12 months Fixed Term),/job/55059037?type=standout#searchRequestToken=3de0658a-fef3-4413-ba90-3daf65d252fc,The Warehouse Group,,Auckland,"['12 month contract opportunity', 'Fast paced, dynamic environment (with a supportive team!)', 'Showcase your analytical skills!']",Accounting,"Due to parental leave, we are looking for a contractor with strong analytical and financial skills to join our workforce team and keep things ticking.",60000-80000
906,Policy Analyst - Freshwater Implementation  (CME),/job/55259812?type=standout#searchRequestToken=3de0658a-fef3-4413-ba90-3daf65d252fc,Ministry for the Environment,,Wellington,"['Permanent Analyst Opportunities', 'Fresh water policy focus', 'Flexible location']",Government & Defence,"Policy Analysts, freshwater focus, 2 x permanent opportunity",60000-80000
907,Senior GIS Developer,/job/55318815?type=standout#searchRequestToken=3de0658a-fef3-4413-ba90-3daf65d252fc,Wellington Water Limited,,Wellington,"['Are you an experienced GIS specialist?', 'Provide subject matter expertise across our geo-spatial solutions', 'Based at our Petone office']",Information & Communication Technology,"You will be responsible for designing, developing, configuring, maintaining, and documenting geographical information system solutions.",60000-80000
910,Financial Analyst,/job/55034150?type=standout#searchRequestToken=3de0658a-fef3-4413-ba90-3daf65d252fc,Classic Group,,Bay of Plenty,"['Join a thriving company, with a supportive and dynamic culture', 'Exciting opportunity to work across our multiple entities', 'Based in the stunning Bay of Plenty']",Accounting,Classic Group has an enviable reputation and for good reason. We are now seeking a Financial Analyst to join our growing team!,60000-80000
911,Systems Analyst,/job/54972190?type=standard#searchRequestToken=3de0658a-fef3-4413-ba90-3daf65d252fc,intelliHUB,,Auckland,,Information & Communication Technology,"Intellihub has an awesome opportunity for a Systems Analyst extraordinaire to join our spirited, and inclusive ICT Operations Team in Newmarket.",60000-80000
913,Conversion Optimisation Specialist,/job/55290317?type=standout#searchRequestToken=3de0658a-fef3-4413-ba90-3daf65d252fc,NZME,,Auckland,"['Utilise data to identify and implement growth initiatives to drive revenue', 'Join a team that encourages diversity & inclusion, growth & development', 'NZME offers flexible working hours and work from home options']",Marketing & Communications,Can you analyse website and app data to understand user behaviour? We are seeking an experienced CRO Specialist to join our team at NZME.,60000-80000
914,Triage Analyst Lead,/job/55210423?type=standout#searchRequestToken=3de0658a-fef3-4413-ba90-3daf65d252fc,Hays Talent Solutions,,Auckland,,Banking & Financial Services,An exciting 6-month fixed term contract opportunity in our Fraud & Investigations team,60000-80000
915,Analyst,/job/55195945?type=standard#searchRequestToken=3de0658a-fef3-4413-ba90-3daf65d252fc,JLL,,Auckland,,Real Estate & Property,Exciting opportunity to join JLL's Capital Markets Team!,60000-80000
916,PwC New Zealand - Service Manager - NZiT -  Tāmaki Makaurau / Auckland,/job/55260502?type=standout#searchRequestToken=3de0658a-fef3-4413-ba90-3daf65d252fc,PwC NZ,,Auckland,"['Put your skills to the test, partnering with some of NZ’s largest organisations', 'Be part of a diverse and growing community of professionals', 'Join an environment where you can bring your authentic self to work']",Information & Communication Technology,"This is a six month contract role combining many skillsets including project coordination, process and data analysis, testing, and change management.",60000-80000
917,Senior Analyst - Deals/Commercial Due Diligence,/job/55196463?type=standout#searchRequestToken=3de0658a-fef3-4413-ba90-3daf65d252fc,PwC NZ,,Auckland,"['Put your skills to the test, partnering with some of NZ’s largest organisations', 'Unrivalled access to local and global industry expertise', 'Coaching to grow, develop and fast track your career']",Banking & Financial Services,This role is all about providing bespoke value creation and commercial due diligence support to our clients.,60000-80000
918,Senior Business Analyst / Kaitātari Umanga Mātāmua,/job/55245063?type=standout#searchRequestToken=3de0658a-fef3-4413-ba90-3daf65d252fc,Z Energy,,Wellington,"['Central Wellington location', 'Fixed term contract for 12-14 months', 'Varied role within an Agile environment']",Information & Communication Technology,"Last year we began our journey of change, learning our new ways of working and building a new team of agile mindset Business Analysts. One of our team",60000-80000
921,Senior Research Advisor,/job/55268055?type=standout#searchRequestToken=3de0658a-fef3-4413-ba90-3daf65d252fc,New Zealand Police,"I $88,404.00 - $119,607.00",Wellington,,Consulting & Strategy,Senior Research Advisor,60000-80000
923,Senior Business Analyst,/job/55195167?type=standout#searchRequestToken=3de0658a-fef3-4413-ba90-3daf65d252fc,AIA New Zealand,,Auckland,"['Come join this dynamic team', 'Excellent opportunity to start in  2022', 'Easy accessible offices - Smales Farm']",Banking & Financial Services,"The Senior Business Analyst role will support AIA’s strategy by eliciting, analysing, validating and communicating requirements for complex cha...",60000-80000
924,Intermediate / Senior Technician,/job/55270256?type=promoted#searchRequestToken=0b811bdb-d655-4191-bd0b-7b97132389e3,Klein Ltd,,Auckland,,Design & Architecture,"If you are looking to develop your existing skills and career in an organisation that will support your growth, then we need to talk!",60000-80000
926,Applications Support Analyst,/job/55125724?type=standout#searchRequestToken=0b811bdb-d655-4191-bd0b-7b97132389e3,Delegat,,Auckland,"['Be part of our global wine industry success story', 'Supportive environment where quality outcomes are our goal']",Information & Communication Technology,We are seeking talented Applications Support Analysts to join our Information Technology team based in Auckland.,60000-80000
927,Laboratory Informatician,/job/55316933?type=standout#searchRequestToken=0b811bdb-d655-4191-bd0b-7b97132389e3,ESR,"$78k - $100k+, depending on expereince.",Wellington,"['Contribute to our efforts in surveillance, investigation, prevention and control', 'Help us keep people safe and healthy\u202fthrough science', '$78k – 100k+ depending on relevant experience']",Science & Technology,This is a key role in the data and informatics team ensuring information from laboratories is up to date and accurate.,60000-80000
930,Data Centre Site Lead 24x7,/job/54926431?type=standout#searchRequestToken=0b811bdb-d655-4191-bd0b-7b97132389e3,Datacom,,Waikato,"['Come work in a state of the art data centre', 'Take the next step in your career with an org that takes your people seriously', '24/7 shift work']",Information & Communication Technology,"Our purpose  Here at Datacom we connect people and technology in order to solve challenges, create opportunities and discover new possibilities",60000-80000
932,Growth Funding Analyst,/job/55147497?type=standout#searchRequestToken=0b811bdb-d655-4191-bd0b-7b97132389e3,Tauranga City Council,,Bay of Plenty,"['Permanent full time position', 'Supportive team environment', 'Learning and development opportunities']",Government & Defence,We're looking for a Growth Funding Analyst to join our team of four in the City & Infrastructure Planning team.,60000-80000
933,Commercial Business Analyst,/job/55194224?type=standard#searchRequestToken=0b811bdb-d655-4191-bd0b-7b97132389e3,Frog Recruitment,NZD45 - NZD50 per hour,Auckland,,Accounting,商业分析员 | FMCG Company | East Tamaki | Must speak Mandarin & English | 6 Months FTC,60000-80000
934,Senior Information Advisors,/job/55113980?type=standout#searchRequestToken=0b811bdb-d655-4191-bd0b-7b97132389e3,Likemind,,Wellington,"['Make a difference', 'Exciting advisory roles', 'Great team']",Information & Communication Technology,"We seek multiple Senior Information Advisors to work within a cohesive team with an admirable culture, supported by an empowering manager.",60000-80000
935,Application Support Analyst,/job/55210539?type=standout#searchRequestToken=0b811bdb-d655-4191-bd0b-7b97132389e3,UCOL,,Manawatu,,Information & Communication Technology,"Fixed term fixed-term opportunity has arisen for an Applications Support Analyst, focussing on the support of our Student Management System.",60000-80000
936,Software Support Analyst,/job/55224437?type=standout#searchRequestToken=0b811bdb-d655-4191-bd0b-7b97132389e3,Sealord Group Limited,,Tasman,"['- Join a strong team of committed and experienced IT professionals', '- An exciting time to join Sealord, entering a phase of significant IT growth', '- Permanent full time position, located in Nelson']",Information & Communication Technology,Permanent Fulltime role based in Nelson for experienced IT support role specialist,60000-80000
937,IT Support Analyst – Finance Applications,/job/55224408?type=standout#searchRequestToken=0b811bdb-d655-4191-bd0b-7b97132389e3,OceanaGold (New Zealand) Ltd,,Otago,"['Do you have a Tertiary qualification?', 'Bring your experience in IT application support roles', 'Attractive salary package on offer']",Information & Communication Technology,OceanaGold's Dunedin office is seeking an IT Support Analyst to join the team.,60000-80000
938,Pricing and Portfolio Manager,/job/55099410?type=standout#searchRequestToken=0b811bdb-d655-4191-bd0b-7b97132389e3,BNZ,,Auckland,"['6 weeks annual leave', 'Join a supportive team environment', 'We have a number of wellbeing initiatives to support you to be your best']",Banking & Financial Services,Develop and deliver insights related to pricing and portfolio performance for our product set.,60000-80000
940,BS INCA Analyst Programmer,/job/55210012?type=standout#searchRequestToken=0b811bdb-d655-4191-bd0b-7b97132389e3,Foodstuffs South Island Limited,,Canterbury,"['Collaborating and contributing with teams to solve problems', 'Excellent opportunity to further develop your skills and experience', 'On-site cafe and free carparking']",Information & Communication Technology,"Support our Retail division by identifying, planning and developing the best possible IT Business applications and solutions.",60000-80000
943,Database Designer,/job/55215363?type=standout#searchRequestToken=0b811bdb-d655-4191-bd0b-7b97132389e3,LEAP Legal Software,,Auckland,"['Friendly, supportive, and driven culture', 'One additional paid ""Be Me"" leave day per year to celebrate being you!', 'Monthly celebrations for birthdays, work anniversaries, passing of probation']",Information & Communication Technology,"Are you looking for an exciting technology start up feel, with the safety of a globally backed company?
If you are nodding, then read on!",60000-80000
944,DEMAND / PRODUCT MANAGEMENT ANALYST,/job/55012880?type=standout#searchRequestToken=0b811bdb-d655-4191-bd0b-7b97132389e3,Value Tyres Limited,,Canterbury,"['Significant potential for career development and progression', 'Newly created role in a NZ owned company.', 'Join a collaborative and high performing sales and marketing team']",Sales,An amazing career opportunity for someone wanting to join a NZ owned national organisation and a recognised leader in the automotive industry.,60000-80000
945,Digital Marketing Analyst,/job/54936553?type=standard#searchRequestToken=0b811bdb-d655-4191-bd0b-7b97132389e3,Traction Marketing,,Canterbury,,Marketing & Communications,"Are you an experienced Marketer, ready to step back into the world of work or looking for a new challenge in the digital space?",60000-80000
947,Internal Control Analyst,/job/55086959?type=promoted#searchRequestToken=a5dedce0-625f-47cd-b516-495aa2f83988,Robert Walters,,Auckland,"[""Sole responsibility for aligning the business' controls"", 'Dynamic ever-changing industry', 'Work with new Ford range seven years in the making']",Accounting,This is the lead role on all internal controls for Ford in NZ.,60000-80000
949,Sr Associate Software Development Engineer (Threat Intel),/job/55147142?type=standout#searchRequestToken=a5dedce0-625f-47cd-b516-495aa2f83988,Workday,,Auckland,,Information & Communication Technology,"The Threat Intelligence team at Workday sources, evaluates, and analyzes both internal as well as external threat intelligence data.",60000-80000
